COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,INDICE,ipm,saber_punt_global_mean
15,BOYACÁ,15135,CAMPOHERMOSO,"1,83",0.21142715559960357,306.5
25,CUNDINAMARCA,25779,SUSA,"1,53",0.19428256765261168,264.5
19,CAUCA,19622,ROSAS,"0,48",0.22989817415730338,291.7
86,PUTUMAYO,86320,ORITO,"4,14",0.23961087866108785,257.4375
52,NARIÑO,52520,FRANCISCO PIZARRO,"0,04",0.254,223.0
25,CUNDINAMARCA,25785,TABIO,"8,67",0.19428256765261168,280.9259259259259
05,ANTIOQUIA,05674,SAN VICENTE FERRER,"3,36",0.2120180810731992,257.5
68,SANTANDER,68684,SAN JOSÉ DE MIRANDA,"1,74",0.20767434317223482,341.0
05,ANTIOQUIA,05495,NECHÍ,"2,59",0.2120180810731992,231.5
54,NORTE DE SANTANDER,54810,TIBÚ,"2,25",0.26416399286987524,225.36363636363637
23,CÓRDOBA,23162,CERETÉ,"6,12",0.2646156546156546,252.0
25,CUNDINAMARCA,25426,MACHETA,"1,27",0.19428256765261168,227.0
52,NARIÑO,52001,PASTO,"19,64",0.254,295.5458468176915
99,VICHADA,99001,PUERTO CARREÑO,"3,91",0.29431394692264257,233.63636363636363
19,CAUCA,19256,EL TAMBO,"0,70",0.22989817415730338,248.89361702127658
41,HUILA,41359,ISNOS,"1,24",0.22292018170019468,297.84375
23,CÓRDOBA,23574,PUERTO ESCONDIDO,"0,70",0.2646156546156546,216.66666666666666
17,CALDAS,17614,RIOSUCIO,"4,35",0.20705396825396827,289.57142857142856
68,SANTANDER,68167,CHARALÁ,"1,87",0.20767434317223482,279.9
17,CALDAS,17867,VICTORIA,"2,22",0.20705396825396827,210.8695652173913
85,CASANARE,85010,AGUAZUL,"6,54",0.21921489275596923,274.537037037037
05,ANTIOQUIA,05313,GRANADA,"5,87",0.2120180810731992,249.5
15,BOYACÁ,15514,PÁEZ,"2,77",0.21142715559960357,264.44444444444446
73,TOLIMA,73001,IBAGUÉ,"20,82",0.23386718750000002,272.8341277407054
44,LA GUAJIRA,44035,ALBANIA,"3,66",0.31803024846957145,304.43589743589746
25,CUNDINAMARCA,25754,SOACHA,"17,26",0.19428256765261168,258.1138996138996
25,CUNDINAMARCA,25777,SUPATÁ,"1,63",0.19428256765261168,335.0
66,RISARALDA,66383,LA CELIA,"2,70",0.19642344870595574,275.5
20,CESAR,20614,RÍO DE ORO,"0,11",0.261579879560751,291.72727272727275
05,ANTIOQUIA,05240,EBÉJICO,"4,94",0.2120180810731992,329.0
15,BOYACÁ,15806,TIBASOSA,"4,26",0.21142715559960357,282.2647058823529
86,PUTUMAYO,86749,SIBUNDOY,"4,90",0.23961087866108785,299.5833333333333
99,VICHADA,99773,CUMARIBO,"0,10",0.29431394692264257,215.0
05,ANTIOQUIA,05234,DABEIBA,"4,31",0.2120180810731992,239.5
15,BOYACÁ,15681,SAN PABLO DE BORBUR,"1,30",0.21142715559960357,254.0
47,MAGDALENA,47030,ALGARROBO,"1,51",0.2781801670904468,210.0
76,VALLE DEL CAUCA,76892,YUMBO,"15,17",0.19479325699745548,285.8407960199005
25,CUNDINAMARCA,25649,SAN BERNARDO,"0,93",0.19428256765261168,245.66666666666666
70,SUCRE,70429,MAJAGUAL,"0,77",0.2775482487491065,246.5
76,VALLE DEL CAUCA,76377,LA CUMBRE,"1,51",0.19479325699745548,291.75
05,ANTIOQUIA,05306,GIRALDO,"3,57",0.2120180810731992,280.0
15,BOYACÁ,15696,SANTA SOFÍA,"1,51",0.21142715559960357,270.0
08,ATLÁNTICO,08675,SANTA LUCÍA,"0,01",0.2301888,222.33333333333334
19,CAUCA,19698,SANTANDER DE QUILICHAO,"7,34",0.22989817415730338,268.48730964467006
15,BOYACÁ,15238,DUITAMA,"18,09",0.21142715559960357,295.24261603375527
19,CAUCA,19701,SANTA ROSA,"0,79",0.22989817415730338,295.0
44,LA GUAJIRA,44110,EL MOLINO,"0,10",0.31803024846957145,217.5
05,ANTIOQUIA,05893,YONDÓ,"4,90",0.2120180810731992,235.0
73,TOLIMA,73622,RONCESVALLES,"2,03",0.23386718750000002,335.0
15,BOYACÁ,15621,RONDÓN,"1,95",0.21142715559960357,279.1666666666667
13,BOLÍVAR,13670,SAN PABLO,"3,05",0.26594403345127055,248.41666666666666
41,HUILA,41872,VILLAVIEJA,"1,07",0.22292018170019468,223.66666666666666
27,CHOCÓ,27099,BOJAYA,"0,41",0.3020449521002211,182.75
05,ANTIOQUIA,05250,EL BAGRE,"5,52",0.2120180810731992,216.5
05,ANTIOQUIA,05266,ENVIGADO,"31,21",0.2120180810731992,310.8266253869969
15,BOYACÁ,15322,GUATEQUE,"3,94",0.21142715559960357,227.0
15,BOYACÁ,15518,PAJARITO,"2,30",0.21142715559960357,328.0
15,BOYACÁ,15763,SOTAQUIRÁ,"2,19",0.21142715559960357,282.75
68,SANTANDER,68572,PUENTE NACIONAL,"1,04",0.20767434317223482,277.57142857142856
19,CAUCA,19290,FLORENCIA,"3,79",0.22989817415730338,348.8125
73,TOLIMA,73148,CARMEN DE APICALÁ,"5,27",0.23386718750000002,252.42857142857142
68,SANTANDER,68229,CURITÍ,"1,83",0.20767434317223482,279.5
05,ANTIOQUIA,05649,SAN CARLOS,"5,34",0.2120180810731992,211.0
52,NARIÑO,52256,EL ROSARIO,"0,19",0.254,280.0
20,CESAR,20400,LA JAGUA DE IBIRICO,"3,28",0.261579879560751,234.83333333333334
41,HUILA,41791,TARQUI,"1,81",0.22292018170019468,299.36
50,META,50150,CASTILLA LA NUEVA,"3,95",0.21401589825119238,246.57142857142858
50,META,50370,URIBE,"1,71",0.21401589825119238,240.66666666666666
73,TOLIMA,73870,VILLAHERMOSA,"2,18",0.23386718750000002,325.0
47,MAGDALENA,47707,SANTA ANA,"0,07",0.2781801670904468,234.0
23,CÓRDOBA,23580,PUERTO LIBERTADOR,"0,43",0.2646156546156546,238.21428571428572
05,ANTIOQUIA,05480,MUTATÁ,"7,18",0.2120180810731992,205.73333333333332
70,SUCRE,70215,COROZAL,"9,58",0.2775482487491065,256.86
68,SANTANDER,68524,PALMAS DEL SOCORRO,"1,30",0.20767434317223482,308.0
70,SUCRE,70001,SINCELEJO,"13,30",0.2775482487491065,247.56962025316454
05,ANTIOQUIA,05004,ABRIAQUÍ,"2,63",0.2120180810731992,330.0
47,MAGDALENA,47798,TENERIFE,"0,08",0.2781801670904468,232.0
44,LA GUAJIRA,44378,HATONUEVO,"3,49",0.31803024846957145,229.0
52,NARIÑO,52250,EL CHARCO,"0,05",0.254,255.75
15,BOYACÁ,15600,RÁQUIRA,"1,51",0.21142715559960357,304.0
05,ANTIOQUIA,05282,FREDONIA,"8,02",0.2120180810731992,262.0
25,CUNDINAMARCA,25377,LA CALERA,"20,24",0.19428256765261168,282.52777777777777
68,SANTANDER,68773,SUCRE,"0,99",0.20767434317223482,270.3333333333333
25,CUNDINAMARCA,25599,APULO,"4,35",0.19428256765261168,276.5
68,SANTANDER,68615,RIONEGRO,"0,86",0.20767434317223482,288.6
54,NORTE DE SANTANDER,54347,HERRÁN,"0,28",0.26416399286987524,187.0
05,ANTIOQUIA,05789,TÁMESIS,"7,03",0.2120180810731992,203.0
25,CUNDINAMARCA,25740,SIBATÉ,"12,19",0.19428256765261168,256.7307692307692
05,ANTIOQUIA,05376,LA CEJA,"19,12",0.2120180810731992,227.96153846153845
13,BOLÍVAR,13780,TALAIGUA NUEVO,"1,04",0.26594403345127055,195.0
66,RISARALDA,66170,DOSQUEBRADAS,"21,41",0.19642344870595574,278.6933962264151
15,BOYACÁ,15442,MARIPÍ,"0,75",0.21142715559960357,269.85714285714283
68,SANTANDER,68770,SUAITA,"1,45",0.20767434317223482,246.33333333333334
17,CALDAS,17524,PALESTINA,"4,90",0.20705396825396827,273.3333333333333
68,SANTANDER,68425,MACARAVITA,"1,89",0.20767434317223482,285.0
76,VALLE DEL CAUCA,76736,SEVILLA,"9,62",0.19479325699745548,271.7647058823529
15,BOYACÁ,15531,PAUNA,"1,80",0.21142715559960357,266.1818181818182
23,CÓRDOBA,23079,BUENAVISTA,"0,56",0.2646156546156546,244.0
23,CÓRDOBA,23815,TUCHÍN,"0,18",0.2646156546156546,212.8
15,BOYACÁ,15790,TASCO,"1,92",0.21142715559960357,268.1333333333333
17,CALDAS,17442,MARMATO,"1,40",0.20705396825396827,257.0
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,"9,52",0.2120180810731992,230.8125
68,SANTANDER,68162,CERRITO,"1,53",0.20767434317223482,244.5
27,CHOCÓ,27025,ALTO BAUDÓ,"0,16",0.3020449521002211,174.5
52,NARIÑO,52036,ANCUYA,"1,16",0.254,275.4107142857143
18,CAQUETA,18756,SOLANO,"0,12",0.24688277668631303,273.0
68,SANTANDER,68406,LEBRIJA,"3,16",0.20767434317223482,298.2758620689655
05,ANTIOQUIA,05790,TARAZÁ,"5,18",0.2120180810731992,238.0
50,META,50251,EL CASTILLO,"1,32",0.21401589825119238,206.0
70,SUCRE,70124,CAIMITO,"0,09",0.2775482487491065,243.5
15,BOYACÁ,15537,PAZ DE RÍO,"5,39",0.21142715559960357,259.53333333333336
85,CASANARE,85325,SAN LUIS DE PALENQUE,"1,23",0.21921489275596923,217.5
05,ANTIOQUIA,05040,ANORÍ,"5,14",0.2120180810731992,213.33333333333334
50,META,50573,PUERTO LÓPEZ,"7,16",0.21401589825119238,246.6818181818182
25,CUNDINAMARCA,25580,PULÍ,"1,23",0.19428256765261168,257.0
76,VALLE DEL CAUCA,76670,SAN PEDRO,"6,14",0.19479325699745548,270.1666666666667
05,ANTIOQUIA,05579,PUERTO BERRÍO,"9,22",0.2120180810731992,226.9375
76,VALLE DEL CAUCA,76895,ZARZAL,"11,92",0.19479325699745548,281.3488372093023
25,CUNDINAMARCA,25001,AGUA DE DIOS,"5,02",0.19428256765261168,249.83333333333334
05,ANTIOQUIA,05237,DONMATÍAS,"12,05",0.2120180810731992,225.75
15,BOYACÁ,15248,EL ESPINO,"3,14",0.21142715559960357,250.0
41,HUILA,41357,IQUIRA,"1,68",0.22292018170019468,260.6
18,CAQUETA,18460,MILÁN,"0,22",0.24688277668631303,240.0
52,NARIÑO,52696,SANTA BÁRBARA,"0,04",0.254,206.0
25,CUNDINAMARCA,25258,EL PEÑÓN,"1,15",0.19428256765261168,220.0
70,SUCRE,70265,GUARANDA,"0,17",0.2775482487491065,275.0
25,CUNDINAMARCA,25815,TOCAIMA,"6,14",0.19428256765261168,218.71428571428572
50,META,50223,SAN LUIS DE CUBARRAL,"2,15",0.21401589825119238,218.2
15,BOYACÁ,15224,CUCAITA,"1,83",0.21142715559960357,276.14285714285717
15,BOYACÁ,15759,SOGAMOSO,"17,00",0.21142715559960357,287.29235382308843
25,CUNDINAMARCA,25596,QUIPILE,"0,37",0.19428256765261168,324.0
27,CHOCÓ,27361,ISTMINA,"6,97",0.3020449521002211,188.0
54,NORTE DE SANTANDER,54239,DURANIA,"2,00",0.26416399286987524,293.0
66,RISARALDA,66318,GUÁTICA,"2,38",0.19642344870595574,313.4
85,CASANARE,85440,VILLANUEVA,"6,43",0.21921489275596923,245.05
17,CALDAS,17272,FILADELFIA,"1,46",0.20705396825396827,309.0
05,ANTIOQUIA,05209,CONCORDIA,"4,14",0.2120180810731992,247.0
52,NARIÑO,52885,YACUANQUER,"2,61",0.254,281.04545454545456
81,ARAUCA,81591,PUERTO RONDÓN,"0,18",0.24664762741652022,190.25
50,META,50711,VISTAHERMOSA,"1,98",0.21401589825119238,235.5
68,SANTANDER,68152,CARCASÍ,"0,91",0.20767434317223482,248.0
47,MAGDALENA,47720,SANTA BÁRBARA DE PINTO,"0,08",0.2781801670904468,221.0
68,SANTANDER,68322,GUAPOTÁ,"1,60",0.20767434317223482,236.0
13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,"1,75",0.26594403345127055,288.0
85,CASANARE,85250,PAZ DE ARIPORO,"5,08",0.21921489275596923,251.8181818181818
15,BOYACÁ,15764,SORACÁ,"1,02",0.21142715559960357,279.6111111111111
66,RISARALDA,66045,APÍA,"1,65",0.19642344870595574,240.66666666666666
23,CÓRDOBA,23555,PLANETA RICA,"6,58",0.2646156546156546,241.57142857142858
23,CÓRDOBA,23350,LA APARTADA,"4,45",0.2646156546156546,238.66666666666666
68,SANTANDER,68250,EL PEÑÓN,"0,64",0.20767434317223482,232.0
52,NARIÑO,52565,PROVIDENCIA,"1,01",0.254,265.53333333333336
05,ANTIOQUIA,05631,SABANETA,"38,17",0.2120180810731992,284.4761904761905
50,META,50287,FUENTE DE ORO,"2,51",0.21401589825119238,223.0
68,SANTANDER,68679,SAN GIL,"13,38",0.20767434317223482,293.04761904761904
05,ANTIOQUIA,05390,LA PINTADA,"11,60",0.2120180810731992,233.28571428571428
68,SANTANDER,68207,CONCEPCIÓN,"1,92",0.20767434317223482,316.0
25,CUNDINAMARCA,25518,PAIME,"1,00",0.19428256765261168,219.0
23,CÓRDOBA,23675,SAN BERNARDO DEL VIENTO,"1,10",0.2646156546156546,252.66666666666666
18,CAQUETA,18247,EL DONCELLO,"1,36",0.24688277668631303,263.22222222222223
52,NARIÑO,52381,LA FLORIDA,"0,91",0.254,278.8095238095238
15,BOYACÁ,15808,TINJACÁ,"1,19",0.21142715559960357,271.93333333333334
54,NORTE DE SANTANDER,54680,SANTIAGO,"0,74",0.26416399286987524,214.875
25,CUNDINAMARCA,25743,SILVANIA,"3,69",0.19428256765261168,253.0
15,BOYACÁ,15693,SANTA ROSA DE VITERBO,"0,51",0.21142715559960357,281.0869565217391
17,CALDAS,17444,MARQUETALIA,"2,52",0.20705396825396827,290.9166666666667
19,CAUCA,19022,ALMAGUER,"0,27",0.22989817415730338,275.6
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,"8,64",0.19479325699745548,272.0
20,CESAR,20295,GAMARRA,"0,13",0.261579879560751,267.3333333333333
23,CÓRDOBA,23300,COTORRA,"1,47",0.2646156546156546,278.0
05,ANTIOQUIA,05690,SANTO DOMINGO,"3,10",0.2120180810731992,240.5
17,CALDAS,17662,SAMANÁ,"1,96",0.20705396825396827,275.44444444444446
76,VALLE DEL CAUCA,76147,CARTAGO,"15,69",0.19479325699745548,277.70183486238534
15,BOYACÁ,15762,SORA,"1,29",0.21142715559960357,275.6
15,BOYACÁ,15842,UMBITA,"1,06",0.21142715559960357,277.8333333333333
76,VALLE DEL CAUCA,76250,EL DOVIO,"2,60",0.19479325699745548,280.0
15,BOYACÁ,15172,CHINAVITA,"3,46",0.21142715559960357,266.0
25,CUNDINAMARCA,25572,PUERTO SALGAR,"8,40",0.19428256765261168,238.2
66,RISARALDA,66594,QUINCHÍA,"1,20",0.19642344870595574,283.44444444444446
76,VALLE DEL CAUCA,76001,CALI,"21,38",0.19479325699745548,291.8859038503372
05,ANTIOQUIA,05113,BURITICÁ,"4,46",0.2120180810731992,263.0
52,NARIÑO,52019,ALBÁN,"11,01",0.254,286.20588235294116
25,CUNDINAMARCA,25873,VILLAPINZÓN,"2,41",0.19428256765261168,277.85714285714283
85,CASANARE,85015,CHAMEZA,"1,76",0.21921489275596923,267.6666666666667
68,SANTANDER,68276,FLORIDABLANCA,"22,27",0.20767434317223482,304.827972027972
63,QUINDÍO,63690,SALENTO,"5,39",0.20098887515451175,276.3333333333333
63,QUINDÍO,63401,LA TEBAIDA,"11,33",0.20098887515451175,248.3181818181818
41,HUILA,41006,ACEVEDO,"0,12",0.22292018170019468,279.60869565217394
68,SANTANDER,68235,EL CARMEN DE CHUCURÍ,"0,57",0.20767434317223482,274.2
76,VALLE DEL CAUCA,76863,VERSALLES,"1,42",0.19479325699745548,276.3333333333333
70,SUCRE,70418,LOS PALMITOS,"2,14",0.2775482487491065,228.0
85,CASANARE,85315,SÁCAMA,"2,97",0.21921489275596923,342.0
17,CALDAS,17050,ARANZAZU,"3,45",0.20705396825396827,331.5
15,BOYACÁ,15572,PUERTO BOYACÁ,"13,33",0.21142715559960357,228.0
25,CUNDINAMARCA,25805,TIBACUY,"0,81",0.19428256765261168,214.0
13,BOLÍVAR,13650,SAN FERNANDO,"0,88",0.26594403345127055,243.0
41,HUILA,41206,COLOMBIA,"0,18",0.22292018170019468,274.15384615384613
05,ANTIOQUIA,05615,RIONEGRO,"23,56",0.2120180810731992,279.0344827586207
52,NARIÑO,52480,NARIÑO,"1,97",0.254,278.0
81,ARAUCA,81794,TAME,"2,21",0.24664762741652022,228.2396694214876
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,"7,27",0.163456,232.3684210526316
95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,"4,07",0.24602860748843083,237.94827586206895
20,CESAR,20250,EL PASO,"0,92",0.261579879560751,206.0
41,HUILA,41660,SALADOBLANCO,"0,10",0.22292018170019468,309.8666666666667
25,CUNDINAMARCA,25148,CAPARRAPÍ,"1,47",0.19428256765261168,243.0
41,HUILA,41530,PALESTINA,"0,07",0.22292018170019468,314.5
86,PUTUMAYO,86219,COLÓN,"5,22",0.23961087866108785,270.875
08,ATLÁNTICO,08078,BARANOA,"4,81",0.2301888,221.26666666666668
19,CAUCA,19050,ARGELIA,"0,18",0.22989817415730338,278.7
50,META,50350,LA MACARENA,"1,25",0.21401589825119238,213.5
20,CESAR,20310,GONZÁLEZ,"0,39",0.261579879560751,294.14285714285717
23,CÓRDOBA,23686,SAN PELAYO,"1,92",0.2646156546156546,231.07692307692307
25,CUNDINAMARCA,25183,CHOCONTÁ,"5,51",0.19428256765261168,283.0
44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,"5,51",0.31803024846957145,213.8684210526316
25,CUNDINAMARCA,25178,CHIPAQUE,"4,19",0.19428256765261168,285.57142857142856
52,NARIÑO,52356,IPIALES,"6,41",0.254,288.01518438177874
47,MAGDALENA,47692,SAN SEBASTIÁN DE BUENAVISTA,"0,14",0.2781801670904468,258.25
52,NARIÑO,52612,RICAURTE,"0,72",0.254,275.3142857142857
50,META,50001,VILLAVICENCIO,"17,26",0.21401589825119238,253.24171270718233
70,SUCRE,70221,COVEÑAS,"7,55",0.2775482487491065,234.4
05,ANTIOQUIA,05861,VENECIA,"11,41",0.2120180810731992,229.75
05,ANTIOQUIA,05697,EL SANTUARIO,"8,09",0.2120180810731992,217.28571428571428
68,SANTANDER,68397,LA PAZ,"0,91",0.20767434317223482,338.5
25,CUNDINAMARCA,25488,NILO,"2,09",0.19428256765261168,240.8
19,CAUCA,19532,PATÍA,"2,83",0.22989817415730338,246.08333333333334
15,BOYACÁ,15087,BELÉN,"3,60",0.21142715559960357,289.7
23,CÓRDOBA,23464,MOMIL,"1,81",0.2646156546156546,255.55555555555554
20,CESAR,20045,BECERRIL,"0,22",0.261579879560751,237.25
52,NARIÑO,52110,BUESACO,"0,77",0.254,270.13513513513516
17,CALDAS,17777,SUPÍA,"3,24",0.20705396825396827,283.5833333333333
20,CESAR,20770,SAN MARTÍN,"0,56",0.261579879560751,274.22222222222223
47,MAGDALENA,47058,ARIGUANÍ,"0,14",0.2781801670904468,221.0
25,CUNDINAMARCA,25772,SUESCA,"1,80",0.19428256765261168,284.6
27,CHOCÓ,27077,BAJO BAUDÓ,"0,60",0.3020449521002211,185.0
25,CUNDINAMARCA,25486,NEMOCÓN,"4,05",0.19428256765261168,257.8
15,BOYACÁ,15187,CHIVATÁ,"1,40",0.21142715559960357,295.0
68,SANTANDER,68147,CAPITANEJO,"4,03",0.20767434317223482,289.5
20,CESAR,20013,AGUSTÍN CODAZZI,"7,03",0.261579879560751,244.93939393939394
44,LA GUAJIRA,44090,DIBULLA,"0,55",0.31803024846957145,196.4
25,CUNDINAMARCA,25214,COTA,"21,98",0.19428256765261168,291.7704918032787
73,TOLIMA,73671,SALDAÑA,"2,91",0.23386718750000002,263.0
13,BOLÍVAR,13744,SIMITÍ,"1,76",0.26594403345127055,316.0
